,Beta,Size,Momentum,Earnings_Yield,Growth,Book_to_Price,Liquidity,Leverage,Non_Linear_Size,Residual_Volatility
2005-01-14,0.0032590043579169468,0.002908640901606851,0.0008080375663214482,0.00019173338174049027,0.00013394915656795995,-0.00048508936793320535,0.0023288924358104922,0.004537689388927284,0.004428403908196711,-0.00026397994282531057
2005-01-21,0.014897702888006667,0.0018642650687366712,0.007460665675474571,0.0015701427982805372,0.003282685185021131,0.006102007273168106,-0.003683195827282904,-0.001090795925734505,0.001649410688201845,-0.0007421521781141409
2005-01-28,-0.004541476009760903,0.0006739940210116063,-0.01065290103688113,0.006345229187884913,0.00482763338309453,-0.004468076354767377,0.005189706974399074,-0.001989538672802958,0.0044015949598769435,0.0112431863948961
2005-02-04,-0.0019713133473704507,-0.008872034791913438,-0.005711670788732826,0.0063427886372333705,-0.0010022936282316625,-0.0020524105941825774,-0.006788653486298576,0.00250670502064396,0.001158496445833105,-0.0009892136264101114
2005-02-18,0.008942278381932635,0.00443387080333194,0.010353981230163175,-0.00011752218845043592,0.00032705194433828907,0.006066061244009418,-0.0003918105882760436,0.0020020379773747227,0.0033935822682508556,-0.004919723041294208
2005-02-25,0.008319846845719292,0.0022022098083318287,0.004516588399356494,-0.0022276612575510488,-0.0004764775602473306,-0.003349326210074617,-0.005738304698103318,-0.002335134880319209,-0.0004420568030016822,-0.004654980837155855
2005-03-04,-0.008013739419817069,0.001963054557926617,-0.0007191847392419536,-0.002135333388957293,-0.00021312473925922532,0.0010984117465285444,0.006604834148216025,0.0017115204801440333,0.0008681665467440251,0.005955468851138655
2005-03-11,-0.005279896623979681,-0.0006724822721557201,-0.0062003578154699,-0.007548229976802722,-0.00012173346665247942,-0.009833820635362478,-0.0037827769315924107,-0.008709072253342777,0.002251450029387048,-0.0011544358769929241
2005-03-18,-0.0137935567778677,-0.0020994051284963233,-0.011628354390608317,-0.0012551051968687499,-0.0018729450302809245,-0.004978927560271698,0.006860412812977251,0.0015842498995592008,0.0006063711680920625,0.009472509228768591
2005-03-25,-1.0095548863105902e-05,-0.00469673025065994,-0.008504738650837507,0.0036640597374065186,0.0015639771237236123,-0.0035077824643677327,-0.0027583256426402386,0.003324135861341025,-0.002851397474767328,-0.0014826332535077848
2005-04-01,0.004393112452645686,0.007155707030277256,0.005756213432679135,0.0029954465765338976,0.009283062405110998,0.005959030381011709,0.00880602912636956,0.003841389502182415,0.00396329935063842,-0.004420581510219639
2005-04-08,0.0013692812644337596,0.0016183597799040161,0.000416811668106247,-0.002060518969504852,0.0007712890033027275,-0.00020089349955453722,-0.001580593714064743,-0.0037653874705192887,0.0006882973281729758,0.0025091916079535634
2005-04-15,-0.012345157012003866,-0.00459815758719128,-0.008821233069447196,0.004318830261942165,0.0033516284988760886,-0.010115109915161298,0.009514527971583052,0.0007199933283213097,-0.002040303275673158,0.003821825900045983
2005-04-22,-0.014000582907731998,-0.010971421552068789,-0.019528221022320255,0.010814595647428649,-0.0042817019502563725,-0.004320064806281054,-0.0016736590522059003,0.0017770216179625875,-0.006511563550636659,0.009309173896720702
2005-04-29,-0.00817937249470757,-0.006043565793378981,0.004424517449171774,-0.00338607864075721,-0.005374910921326935,0.0060092535514281835,0.00810833799473664,-0.0012900451357503798,-0.0015182655152985308,0.002311089705020015
2005-05-13,0.011598279227346645,0.0001933984170356673,0.004639931344691119,-0.0002848131637938206,-0.00032806835385708333,0.01013934024944399,0.010552943000546097,-0.001617245247380078,3.779170360051348e-05,0.0011190979377499188
2005-05-20,-0.0032680710249088276,0.003959784075698516,0.0025967230478890803,0.0035793120323446255,-0.003157524150734215,0.004559931873529555,0.009141699433634635,0.0027148211342758223,0.00020545868796995222,0.005412651823194222
2005-05-27,0.015852447170460575,0.01163228189867029,0.014957811413091463,0.001703016154786359,-0.0005286907460363768,0.010767942848537769,0.007469237381048457,-0.004111892386252938,0.0045114653291913505,0.0042212172485731475
2005-06-03,0.0064018603364190615,0.005649342300954298,0.006837696004440348,0.006250802336240084,-0.005128477287867347,0.017704389345696913,0.011849197589324584,0.00023306451298842415,0.0020571783666928738,0.0035553684512259764
2005-06-10,0.01280205305280474,-0.001891636489774265,0.004330522330235939,-0.0023426773522615546,-0.001778219559482097,-0.008486439842773544,-0.017337926270527174,-0.003903948711502528,0.004545151676792258,-0.016178849503937415
2005-06-17,-0.016837701671469772,-0.005453031122765066,-0.015718011998289448,0.0028698346536826444,-0.002283347314994348,0.006457026335112016,0.007196040850250593,0.004784423338028532,0.0008504726019095757,0.01886467155878748
2005-06-24,4.383174118019126e-05,0.0038214689453723166,-0.007523064085850521,0.002830710169392986,0.0020090773554059665,-0.005629048384296134,-0.003463669197523677,0.0013543654599553895,0.00945257680792172,-0.0025001620378772224
2005-07-01,-0.008207035895985565,-0.009658618237852648,-0.017250220256508852,0.0009105844943931712,0.00259162228011231,-0.017197523734257564,0.002524265334330436,0.0006473866067392836,-0.002306506706892336,0.005463529845578616
2005-07-08,-0.008546747905210018,-0.013719345935545843,-0.004885467101670177,-0.003747297430324502,-0.002886869589333256,-0.0061261986368443475,-0.0035690722545389866,0.0018199271809693288,0.0003433534964562279,0.004533692418586775
2005-07-15,-0.00142423916446811,-0.0011086871201262602,-0.014172545378838684,-0.0029392332337088364,-0.0007144048614996373,-0.008478909838885969,-0.00321412193834757,-0.0023027120555726734,0.006112000398622122,0.0013331451284113848
2005-07-22,0.01116340939630269,-0.0007044729616644194,0.010300843200988124,0.004576793198836348,0.004024510304131796,0.006628934601726014,-0.0029049628808214796,0.0012540370539007202,0.004003882769339263,-0.0076202564475048706
2005-07-29,0.01034887467197218,0.009127194202632867,0.009149875390763354,0.000735516893502472,0.0005326141880816412,-0.0008777292966606759,-0.0004818678913845742,0.0024159376218762796,0.0029881677199360412,-0.012235182813195557
